Factor_Evidence_Map_ID,Factor_ID,Card_ID,Evidence_ID,Sort_Order,Is_Primary
FEM-0369,CTF-0075,CARD-0299,CEVID-0226,1,YES
FEM-0370,CEF-0075,CARD-0300,CEVID-0226,1,YES
FEM-0371,CCF-0076,CARD-0301,CEVID-0218,1,YES
FEM-0372,CPF-0076,CARD-0302,CEVID-0218,1,YES
FEM-0373,CTF-0076,CARD-0303,CEVID-0218,1,YES
FEM-0374,CEF-0076,CARD-0304,CEVID-0218,1,YES
FEM-0375,CCF-0077,CARD-0305,CEVID-0227,1,YES
FEM-0376,CPF-0077,CARD-0306,CEVID-0227,1,YES
FEM-0377,CTF-0077,CARD-0307,CEVID-0227,1,YES
FEM-0378,CEF-0077,CARD-0308,CEVID-0227,1,YES
FEM-0379,CCF-0078,CARD-0309,CEVID-0228,1,YES
FEM-0380,CPF-0078,CARD-0310,CEVID-0228,1,YES
FEM-0381,CTF-0078,CARD-0311,CEVID-0228,1,YES
FEM-0382,CEF-0078,CARD-0312,CEVID-0228,1,YES
FEM-0383,CCF-0079,CARD-0313,CEVID-0229,1,YES
FEM-0384,CPF-0079,CARD-0314,CEVID-0229,1,YES
FEM-0385,CTF-0079,CARD-0315,CEVID-0229,1,YES
FEM-0386,CEF-0079,CARD-0316,CEVID-0229,1,YES
FEM-0387,CCF-0080,CARD-0317,CEVID-0230,1,YES
FEM-0388,CCF-0080,CARD-0317,CEVID-0231,2,NO
FEM-0389,CPF-0080,CARD-0318,CEVID-0230,1,YES
FEM-0390,CPF-0080,CARD-0318,CEVID-0231,2,NO
FEM-0391,CTF-0080,CARD-0319,CEVID-0230,1,YES
FEM-0392,CTF-0080,CARD-0319,CEVID-0231,2,NO
FEM-0393,CEF-0080,CARD-0320,CEVID-0230,1,YES
FEM-0394,CEF-0080,CARD-0320,CEVID-0231,2,NO
FEM-0395,CCF-0081,CARD-0321,CEVID-0232,1,YES
FEM-0396,CCF-0081,CARD-0321,CEVID-0233,2,NO
FEM-0397,CPF-0081,CARD-0322,CEVID-0232,1,YES
FEM-0398,CPF-0081,CARD-0322,CEVID-0233,2,NO
FEM-0399,CTF-0081,CARD-0323,CEVID-0232,1,YES
FEM-0400,CTF-0081,CARD-0323,CEVID-0233,2,NO
FEM-0401,CEF-0081,CARD-0324,CEVID-0232,1,YES
FEM-0402,CEF-0081,CARD-0324,CEVID-0233,2,NO
FEM-0403,CCF-0082,CARD-0325,CEVID-0234,1,YES
FEM-0404,CCF-0082,CARD-0325,CEVID-0235,2,NO
FEM-0405,CPF-0082,CARD-0326,CEVID-0234,1,YES
FEM-0406,CPF-0082,CARD-0326,CEVID-0235,2,NO
FEM-0407,CTF-0082,CARD-0327,CEVID-0234,1,YES
FEM-0408,CTF-0082,CARD-0327,CEVID-0235,2,NO
FEM-0409,CEF-0082,CARD-0328,CEVID-0234,1,YES
FEM-0410,CEF-0082,CARD-0328,CEVID-0235,2,NO
FEM-0411,CCF-0083,CARD-0329,CEVID-0236,1,YES
FEM-0412,CCF-0083,CARD-0329,CEVID-0237,2,NO
FEM-0413,CPF-0083,CARD-0330,CEVID-0236,1,YES
FEM-0414,CPF-0083,CARD-0330,CEVID-0237,2,NO
FEM-0415,CTF-0083,CARD-0331,CEVID-0236,1,YES
FEM-0416,CTF-0083,CARD-0331,CEVID-0237,2,NO
FEM-0417,CEF-0083,CARD-0332,CEVID-0236,1,YES
FEM-0418,CEF-0083,CARD-0332,CEVID-0237,2,NO
FEM-0419,CCF-0084,CARD-0333,CEVID-0238,1,YES
FEM-0420,CCF-0084,CARD-0333,CEVID-0239,2,NO
